time,feed_id,entered,exited,occupancy
2025-08-23T11:53:17Z,a6707943,4,3,1
2025-08-23T11:53:18Z,a6707943,4,3,1
2025-08-23T11:53:19Z,a6707943,4,3,1
2025-08-23T11:53:20Z,a6707943,5,3,2
2025-08-23T11:53:21Z,a6707943,5,3,2
2025-08-23T11:53:22Z,a6707943,5,3,2
2025-08-23T11:53:23Z,a6707943,5,3,2
2025-08-23T11:53:24Z,a6707943,5,3,2
2025-08-23T11:53:25Z,a6707943,5,3,2
2025-08-23T11:53:26Z,a6707943,5,3,2
2025-08-23T11:53:27Z,a6707943,5,3,2
2025-08-23T11:53:28Z,a6707943,5,3,2
2025-08-23T11:53:29Z,a6707943,5,3,2
2025-08-23T11:53:30Z,a6707943,5,3,2
2025-08-23T11:53:31Z,a6707943,5,4,1
2025-08-23T11:53:32Z,a6707943,5,4,1
2025-08-23T11:53:33Z,a6707943,5,4,1
2025-08-23T11:53:34Z,a6707943,5,4,1
2025-08-23T11:53:35Z,a6707943,5,4,1
2025-08-23T11:53:36Z,a6707943,5,4,1
2025-08-23T11:53:37Z,a6707943,5,4,1
2025-08-23T11:53:38Z,a6707943,5,4,1
2025-08-23T11:53:39Z,a6707943,5,4,1
2025-08-23T11:53:40Z,a6707943,5,4,1
2025-08-23T11:53:41Z,a6707943,5,4,1
2025-08-23T11:53:42Z,a6707943,5,4,1
2025-08-23T11:53:43Z,a6707943,5,4,1
2025-08-23T11:53:44Z,a6707943,6,4,2
2025-08-23T11:53:45Z,a6707943,6,4,2
2025-08-23T11:53:46Z,a6707943,6,4,2
2025-08-23T11:53:47Z,a6707943,6,4,2
2025-08-23T11:53:48Z,a6707943,6,4,2
2025-08-23T11:53:49Z,a6707943,6,4,2
2025-08-23T11:53:50Z,a6707943,6,4,2
2025-08-23T11:53:51Z,a6707943,6,4,2
2025-08-23T11:53:52Z,a6707943,6,4,2
2025-08-23T11:53:53Z,a6707943,6,4,2
2025-08-23T11:53:54Z,a6707943,6,4,2
2025-08-23T11:53:55Z,a6707943,6,4,2
2025-08-23T11:53:56Z,a6707943,6,4,2
2025-08-23T11:53:57Z,a6707943,6,5,1
2025-08-23T11:53:58Z,a6707943,6,5,1
2025-08-23T11:53:59Z,a6707943,6,5,1
2025-08-23T11:54:00Z,a6707943,6,5,1
2025-08-23T11:54:01Z,a6707943,6,5,1
2025-08-23T11:54:02Z,a6707943,6,5,1
2025-08-23T11:54:03Z,a6707943,6,5,1
2025-08-23T11:54:04Z,a6707943,6,5,1
2025-08-23T11:54:05Z,a6707943,6,5,1
2025-08-23T11:54:06Z,a6707943,6,5,1
2025-08-23T11:54:07Z,a6707943,6,5,1
2025-08-23T11:54:08Z,a6707943,6,5,1
2025-08-23T11:54:09Z,a6707943,6,5,1
2025-08-23T11:54:10Z,a6707943,6,5,1
2025-08-23T11:54:11Z,a6707943,6,5,1
2025-08-23T11:54:12Z,a6707943,6,5,1
2025-08-23T11:54:13Z,a6707943,6,5,1
2025-08-23T11:54:14Z,a6707943,7,5,2
2025-08-23T11:54:15Z,a6707943,7,5,2
2025-08-23T11:54:16Z,a6707943,7,5,2
2025-08-23T11:54:17Z,a6707943,7,5,2
2025-08-23T11:54:18Z,a6707943,7,5,2
2025-08-23T11:54:19Z,a6707943,7,5,2
2025-08-23T11:54:20Z,a6707943,7,5,2
2025-08-23T11:54:21Z,a6707943,7,5,2
2025-08-23T11:54:22Z,a6707943,7,5,2
